"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserSidebarMenu\UserSidebarMenu.js", "JavaScript", 53, 0, 0, 0, 0, 0, 5, 11, 69
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\contexts\CurrentUserContext.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\contexts\FilterContext.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\contexts\ValidationContext.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\fonts\fonts.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\utils\api.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\utils\constants.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\utils\mockServer.js", "JavaScript", 94, 0, 0, 0, 0, 0, 114, 4, 212
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\utils\useFormAndValidation.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"Total", "-", 1288, 1, 898, 79, 20, 30679, 182, 393, 33540
